DATE, EPS 
Q3 2019, 1.10 
Q2 2019, 0.89 
Q1 2019, 0.98 
Q4 2019, 2.63 
Q3 2018, 0.99 
Q2 2018, 0.86 
Q1 2018, 0.72 
Q4 2018, 1.21 
Q3 2017, 0.78 
Q2 2017, 0.67 
Q1 2017, 0.60 
Q4 2017, 1.89 
Q3 2016, 0.61 
Q2 2016, 0.61 
Q1 2016, 0.70 
Q4 2016, 1.38 
Q3 2015, 0.36 
Q2 2015, 0.46 
Q1 2015, 0.36 
Q4 2015, 1.46 
Q3 2014, 0.30 
Q2 2014, 0.42 
Q1 2014, 1.31 
Q4 2014, 0.84 
Q3 2013, 0.16 
Q2 2013, 0.77 
Q1 2013, (0.24)
Q4 2013, (1.21)
Q3 2012, (0.03)
Q2 2012, 0.04 
Q1 2012, 0.46 
Q1 2012, -   
Q4 2012, (5.17)
Q4 2011, 0.42 
Q3 2011, 0.42 
Q3 2011, 0.47 
Q2 2011, 0.34 
Q2 2011, 0.35 
Q1 2011, 0.53 
Q1 2011, 1.58 
Q4 2010, 0.54 
Q3 2010, 0.60 
Q2 2010, 0.36 
Q1 2010, 1.84 
Q4 2009, 0.53 
Q3 2009, 0.37 
Q2 2009, 0.36 
Q1 2009, 1.35 
Q4 2008, 0.13 
Q3 2008, 0.48 
Q2 2008, 0.43 
Q1 2008, 1.65 
Q4 2007, 0.53 
Q3 2007, 0.55 
Q2 2007, 0.39 
Q1 2007, 1.54 
Q4 2006, 0.31 
Q3 2006, 0.47 
Q2 2006, 0.47 
Q1 2006, 1.28 
Q4 2005, 0.28 
Q3 2005, 0.37 
Q2 2005, 0.34 
Q1 2005, 1.13 
