DATE,EPS
Q3 2019,$1.39 
Q2 2019,$1.82 
Q1 2019,$1.53 
Q4 2019,$1.52 
Q3 2018,$1.17 
Q2 2018,$1.49 
Q1 2018,$1.33 
Q4 2018,$1.98 
Q3 2017,$0.87 
Q2 2017,$1.22 
Q1 2017,$1.22 
Q4 2017,$1.42 
Q3 2016,$1.06 
Q2 2016,$1.16 
Q1 2016,$1.05 
Q4 2016,$2.28 
Q3 2015,$0.87 
Q2 2015,$1.18 
Q1 2015,$0.98 
Q4 2015,($4.14)
Q3 2014,$0.55 
Q2 2014,$0.37 
Q1 2014,$0.66 
Q4 2014,$0.81 
Q3 2013,$0.54 
Q2 2013,$0.95 
Q1 2013,$0.77 
Q4 2013,$1.46 
Q3 2012,$0.96 
Q2 2012,$1.06 
Q1 2012,$1.04 
Q4 2012,$1.44 
Q3 2011,$0.82 
Q2 2011,$1.03 
Q1 2011,$0.99 
Q4 2011,$1.44 
Q3 2010,$0.74 
Q2 2010,$0.92 
Q1 2010,$0.90 
Q4 2010,$1.24 
Q3 2009,$0.58 
Q2 2009,$0.79 
Q1 2009,$0.69 
Q4 2009,$0.81 
Q3 2008,$0.49 
Q2 2008,$0.82 
Q1 2008,$0.74 
Q4 2008,$1.22 
Q3 2007,$0.56 
Q2 2007,$0.80 
Q1 2007,$0.75 
Q4 2007,$1.29 
Q3 2006,$0.59 
Q2 2006,$0.70 
Q1 2006,$0.63 
Q4 2006,$1.06 
Q3 2005,$0.49 
Q2 2005,$0.61 
Q1 2005,$0.55 
Q4 2005,$0.92 
